N=4: Loss=2.5599939363257773
N=6: Loss=3.6766968055699345
N=8: Loss=4.7806017969346364
N=10: Loss=5.8718555794064820
N=12: Loss=6.9506031410847768
N=16: Loss=9.0711512653818609
N=20: Loss=11.1433731833922032
N=24: Loss=13.1683702246198742
N=30: Loss=16.1196666753953828
N=34: Loss=18.0312565352050100
N=40: Loss=20.8172696768214252
N=44: Loss=22.6218035688371835
N=50: Loss=25.2517898662894993
N=54: Loss=26.9552633131291088
N=60: Loss=29.4379608357882780
N=64: Loss=31.0460335890498698
N=70: Loss=33.3896910426985229
N=74: Loss=34.9077058873559665
N=80: Loss=37.1201100203249368
N=84: Loss=38.5531105260088367
N=90: Loss=40.6416120004704382
N=94: Loss=41.9943592786129614
N=100: Loss=43.9658970929881576
N=140: Loss=55.5026934342612535
N=200: Loss=68.5112316156191667
N=240: Loss=74.9944175513515603
N=300: Loss=82.3046594319420279
N=340: Loss=85.9479325412114719
N=400: Loss=90.0559757054558077
N=440: Loss=92.1033393134573259
N=500: Loss=94.4118838069168902
