N=4: Loss=9.8377129444860998
N=6: Loss=13.8959229986637567
N=8: Loss=17.7714727701259854
N=10: Loss=21.4725838093682739
N=12: Loss=25.0071076143955295
N=16: Loss=31.6060484381915359
N=20: Loss=37.6243206331253077
N=24: Loss=43.1130196803578443
N=30: Loss=50.4539234165797126
N=34: Loss=54.8136916162660128
N=40: Loss=60.6446979058667495
N=44: Loss=64.1077368867669151
N=50: Loss=68.7394056255348289
N=54: Loss=71.4901571411995747
N=60: Loss=75.1691714039587993
N=64: Loss=77.3541407163646113
N=70: Loss=80.2764451187270112
N=74: Loss=82.0120038811117666
N=80: Loss=84.3332406065334084
N=84: Loss=85.7118248276426300
N=90: Loss=87.5556231434821370
N=94: Loss=88.6506563373337286
N=100: Loss=90.1152171002499074
N=140: Loss=96.0650152048985717
N=200: Loss=99.0116587005136068
N=240: Loss=99.6065560543623008
N=300: Loss=99.9011795672017087
N=340: Loss=99.9606610580677000
N=400: Loss=99.9901193262453916
N=440: Loss=99.9960666509943508
N=500: Loss=99.9990120695580771
