N=4: Loss=0.7366077093788910
N=6: Loss=0.8551403362386036
N=8: Loss=0.9203305376342589
N=10: Loss=0.9561836396079105
N=12: Loss=0.9759020158916619
N=16: Loss=0.9927109733034244
N=20: Loss=0.9977952549912668
N=24: Loss=0.9993331207641456
N=30: Loss=0.9998890619734264
N=34: Loss=0.9999664440712666
N=40: Loss=0.9999944178371234
N=44: Loss=0.9999983115378428
N=50: Loss=0.9999997191175709
N=54: Loss=0.9999999150402160
N=60: Loss=0.9999999858666003
N=64: Loss=0.9999999957250064
N=70: Loss=0.9999999992888378
N=74: Loss=0.9999999997848915
N=80: Loss=0.9999999999642158
N=84: Loss=0.9999999999891762
N=90: Loss=0.9999999999981994
N=94: Loss=0.9999999999994553
N=100: Loss=0.9999999999999094
