N=4: Loss=0.7366208914945390
N=6: Loss=0.8551504859389266
N=8: Loss=0.9203377145484792
N=10: Loss=0.9561884638378293
N=12: Loss=0.9759051514777680
N=16: Loss=0.9927122135397106
N=20: Loss=0.9977957183901043
N=24: Loss=0.9993332876255088
N=30: Loss=0.9998890963923808
N=34: Loss=0.9999664558252251
N=40: Loss=0.9999944201275700
N=44: Loss=0.9999983122982198
N=50: Loss=0.9999997192609239
N=54: Loss=0.9999999150869766
N=60: Loss=0.9999999858752274
N=64: Loss=0.9999999957277870
N=70: Loss=0.9999999992893429
N=74: Loss=0.9999999997850529
N=80: Loss=0.9999999999642448
N=84: Loss=0.9999999999891854
N=90: Loss=0.9999999999982011
N=94: Loss=0.9999999999994559
N=100: Loss=0.9999999999999095
