N=4: Loss=-0.7823489512178987
N=6: Loss=-1.5531074310635185
N=8: Loss=-2.2508199923964591
N=10: Loss=-2.8805030640258824
N=12: Loss=-3.4468693752744377
N=16: Loss=-4.4070862905716899
N=20: Loss=-5.1637285595759685
N=24: Loss=-5.7452017234278276
N=30: Loss=-6.3427753688044195
N=34: Loss=-6.5890619172090377
N=40: Loss=-6.7754307453625691
N=44: Loss=-6.7998694557459469
N=50: Loss=-6.7189805930850106
N=54: Loss=-6.6024556608392171
N=60: Loss=-6.3564226618160014
N=64: Loss=-6.1559218435376479
N=70: Loss=-5.8161469007521314
N=74: Loss=-5.5711716651429297
N=80: Loss=-5.1866616813401780
N=84: Loss=-4.9240110191269615
N=90: Loss=-4.5275714897797128
N=94: Loss=-4.2648972963247838
N=100: Loss=-3.8777252866605600
