N=4: Loss=-0.8238413459749860
N=6: Loss=-1.6125331789265247
N=8: Loss=-2.3264733621727318
N=10: Loss=-2.9707958729846689
N=12: Loss=-3.5503238482057036
N=16: Loss=-4.5328391012811959
N=20: Loss=-5.3070322455051553
N=24: Loss=-5.9019736191434422
N=30: Loss=-6.5133531825085962
N=34: Loss=-6.7653040328908594
N=40: Loss=-6.9559131737036957
N=44: Loss=-6.9808604604613951
N=50: Loss=-6.8980074986944278
N=54: Loss=-6.7787227891171122
N=60: Loss=-6.5269023484803448
N=64: Loss=-6.3217012264512018
N=70: Loss=-5.9739778744208030
N=74: Loss=-5.7232806822579239
N=80: Loss=-5.3298002632044339
N=84: Loss=-5.0610281728687960
N=90: Loss=-4.6553569612020027
N=94: Loss=-4.3865706962521820
N=100: Loss=-3.9903959719754649
