N=4: Loss=0.0255978770768391
N=6: Loss=0.0367641139420255
N=8: Loss=0.0478023904479350
N=10: Loss=0.0587141729662506
N=12: Loss=0.0695009110646554
N=16: Loss=0.0907049694056559
N=20: Loss=0.1114258331949637
N=24: Loss=0.1316745133895866
N=30: Loss=0.1611856598315115
N=34: Loss=0.1803004213801240
N=40: Loss=0.2081589544717463
N=44: Loss=0.2262032964016140
N=50: Loss=0.2525017618829298
N=54: Loss=0.2695356272991383
N=60: Loss=0.2943613883827304
N=64: Loss=0.3104413635985199
N=70: Loss=0.3338768911891873
N=74: Loss=0.3490563937050619
N=80: Loss=0.3711795403672575
N=84: Loss=0.3855089963233329
N=90: Loss=0.4063932549065244
N=94: Loss=0.4199202665976106
N=100: Loss=0.4396350143787167
