N=4: Loss=0.0255976479336342
N=6: Loss=0.0367637968177620
N=8: Loss=0.0478019873891474
N=10: Loss=0.0587136859841226
N=12: Loss=0.0695003421355614
N=16: Loss=0.0907042423751757
N=20: Loss=0.1114249555640786
N=24: Loss=0.1316734923995163
N=30: Loss=0.1611844368312132
N=34: Loss=0.1802990720388041
N=40: Loss=0.2081574275351944
N=44: Loss=0.2262016586857546
N=50: Loss=0.2524999688858743
N=54: Loss=0.2695337377377932
N=60: Loss=0.2943593639120062
N=64: Loss=0.3104392555338552
N=70: Loss=0.3338746667922925
N=74: Loss=0.3490540975347312
N=80: Loss=0.3711771447842940
N=84: Loss=0.3855065397257006
N=90: Loss=0.4063907142856918
N=94: Loss=0.4199176747409837
N=100: Loss=0.4396323524764754
