N=4: Loss=0.0255971896470629
N=6: Loss=0.0367631625689215
N=8: Loss=0.0478011812710601
N=10: Loss=0.0587127120191109
N=12: Loss=0.0694992042763297
N=16: Loss=0.0907027883124716
N=20: Loss=0.1114232002997081
N=24: Loss=0.1316714504157738
N=30: Loss=0.1611819908252673
N=34: Loss=0.1802963733495004
N=40: Loss=0.2081543736532572
N=44: Loss=0.2261983832436375
N=50: Loss=0.2524963828788609
N=54: Loss=0.2695299586004390
N=60: Loss=0.2943553149531331
N=64: Loss=0.3104350393851918
N=70: Loss=0.3338702179762192
N=74: Loss=0.3490495051697708
N=80: Loss=0.3711723535909883
N=84: Loss=0.3855016265009732
N=90: Loss=0.4063856330114053
N=94: Loss=0.4199124909929880
N=100: Loss=0.4396270286340580
