N=4: Loss=0.0445355617201415
N=6: Loss=0.0636876960164834
N=8: Loss=0.0824559287949775
N=10: Loss=0.1008479553011317
N=12: Loss=0.1188713165304683
N=16: Loss=0.1538414543803763
N=20: Loss=0.1874237012625016
N=24: Loss=0.2196731396402513
N=30: Loss=0.2656634157006627
N=34: Loss=0.2948076849350513
N=40: Loss=0.3363697416744100
N=44: Loss=0.3627078260545883
N=50: Loss=0.4002680389599557
N=54: Loss=0.4240701347764078
N=60: Loss=0.4580138253484037
N=64: Loss=0.4795241127739363
N=70: Loss=0.5101995014505207
N=74: Loss=0.5296386495279437
N=80: Loss=0.5573604279970136
N=84: Loss=0.5749278584315988
N=90: Loss=0.5999804179799249
N=94: Loss=0.6158563509603638
N=100: Loss=0.6384966999777509
