N=4: Loss=0.9015066454103429
N=6: Loss=0.8608853826381712
N=8: Loss=0.8220944857291983
N=10: Loss=0.7850514796699821
N=12: Loss=0.7496776057138549
N=16: Loss=0.6836398032889724
N=20: Loss=0.6234191565532414
N=24: Loss=0.5685032423328241
N=30: Loss=0.4950649158968980
N=34: Loss=0.4514555045255130
N=40: Loss=0.3931372149470858
N=44: Loss=0.3585064382923359
N=50: Loss=0.3121951582780694
N=54: Loss=0.2846944272661825
N=60: Loss=0.2479180630747135
N=64: Loss=0.2260793901010185
N=70: Loss=0.1968748213063981
N=74: Loss=0.1795324591326127
N=80: Loss=0.1563407473571034
N=84: Loss=0.1425689615838098
N=90: Loss=0.1241521344475922
N=94: Loss=0.1132157878596872
N=100: Loss=0.0985907560790017
