N=4: Loss=0.9015545283335225
N=6: Loss=0.8609493988109168
N=8: Loss=0.8221730843979143
N=10: Loss=0.7851432170601205
N=12: Loss=0.7497811385384235
N=16: Loss=0.6837632688008254
N=20: Loss=0.6235582408388771
N=24: Loss=0.5686542367214178
N=30: Loss=0.4952279676744654
N=34: Loss=0.4516233825763661
N=40: Loss=0.3933084736993352
N=44: Loss=0.3586778511766193
N=50: Loss=0.3123643363885823
N=54: Loss=0.2848608063443733
N=60: Loss=0.2480787604949187
N=64: Loss=0.2262355445840145
N=70: Loss=0.1970233609900185
N=74: Loss=0.1796755485250931
N=80: Loss=0.1564753254102068
N=84: Loss=0.1426977480358062
N=90: Loss=0.1242722047740853
N=94: Loss=0.1133300967307002
N=100: Loss=0.0986965889920738
