N=4: Meters=1.1438562136676431
N=6: Meters=1.6013986991347005
N=8: Meters=2.0589411846017578
N=10: Meters=2.5164836700688151
N=12: Meters=2.9740261555358725
N=16: Meters=3.8891111264699871
N=20: Meters=4.8041960974041018
N=24: Meters=5.7192810683382156
N=30: Meters=7.0919085247393880
N=34: Meters=8.0069934956735018
N=40: Meters=9.3796209520746743
N=44: Meters=10.2947059230087898
N=50: Meters=11.6673333794099605
N=54: Meters=12.5824183503440761
N=60: Meters=13.9550458067452485
N=64: Meters=14.8701307776793605
N=70: Meters=16.2427582340805330
N=74: Meters=17.1578432050146503
N=80: Meters=18.5304706614158192
N=84: Meters=19.4455556323499366
N=90: Meters=20.8181830887511090
N=94: Meters=21.7332680596852228
N=100: Meters=23.1058955160863917
N=140: Meters=32.2567452254275366
N=200: Meters=45.9830197894392541
N=240: Meters=55.1338694987804061
N=300: Meters=68.8601440627921306
N=340: Meters=78.0109937721332614
N=400: Meters=91.7372683361449930
N=440: Meters=100.8881180454861379
N=500: Meters=114.6143926094978553
