N=4: Loss=2.5574275043675265
N=6: Loss=3.6731449594425092
N=8: Loss=4.7760874496568739
N=10: Loss=5.8664012483582884
N=12: Loss=6.9442309540645786
N=16: Loss=9.0630082212551208
N=20: Loss=11.1335432660236933
N=24: Loss=13.1569345105877478
N=30: Loss=16.1059681433463275
N=34: Loss=18.0161427555521882
N=40: Loss=20.8001664538707516
N=44: Loss=22.6034593458996014
N=50: Loss=25.2317060592302838
N=54: Loss=26.9340976802175049
N=60: Loss=29.4152837384775268
N=64: Loss=31.0224199081027052
N=70: Loss=33.3647739285524167
N=74: Loss=34.8819845608625201
N=80: Loss=37.0932747375309262
N=84: Loss=38.5255915170927352
N=90: Loss=40.6131513832530899
N=94: Loss=41.9653244522557998
N=100: Loss=43.9360772013903187
